frame,diff_ms,start_time,end_time,datetime,iso,shutter,fnum,ev,color_md,focal_len,latitude,longitude,rel_alt,abs_alt,ct
1,33,"00:00:00,000","00:00:00,033",2025-05-07 16:02:57.632,100.0,1/1750.36,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5025.0
2,33,"00:00:00,033","00:00:00,066",2025-05-07 16:02:57.664,100.0,1/1750.36,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5025.0
3,33,"00:00:00,066","00:00:00,099",2025-05-07 16:02:57.697,100.0,1/1750.36,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
4,34,"00:00:00,099","00:00:00,133",2025-05-07 16:02:57.731,100.0,1/1750.36,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
5,33,"00:00:00,133","00:00:00,166",2025-05-07 16:02:57.764,100.0,1/1750.36,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
6,33,"00:00:00,166","00:00:00,199",2025-05-07 16:02:57.797,100.0,1/1750.36,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
7,34,"00:00:00,199","00:00:00,233",2025-05-07 16:02:57.831,100.0,1/1759.85,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
8,33,"00:00:00,233","00:00:00,266",2025-05-07 16:02:57.863,100.0,1/1769.41,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
9,33,"00:00:00,266","00:00:00,299",2025-05-07 16:02:57.897,100.0,1/1779.4,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
10,34,"00:00:00,299","00:00:00,333",2025-05-07 16:02:57.931,100.0,1/1788.68,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
11,33,"00:00:00,333","00:00:00,366",2025-05-07 16:02:57.965,100.0,1/1798.39,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
12,34,"00:00:00,366","00:00:00,400",2025-05-07 16:02:57.998,100.0,1/1808.15,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
13,33,"00:00:00,400","00:00:00,433",2025-05-07 16:02:58.031,100.0,1/1817.98,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
14,33,"00:00:00,433","00:00:00,466",2025-05-07 16:02:58.065,100.0,1/1827.85,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
15,34,"00:00:00,466","00:00:00,500",2025-05-07 16:02:58.098,100.0,1/1837.79,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
16,33,"00:00:00,500","00:00:00,533",2025-05-07 16:02:58.131,100.0,1/1837.79,1.7,0.0,default,24.0,37.871293,-122.317558,106.5,71.13,5026.0
